,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
0,ABDUL-QUDDUS KEHINDE OYEDELE, Molecular modeling in drug discovery,Molecular docking algorithms,"PhD student, University of Utah",,,,,,
1,ABDUL-QUDDUS KEHINDE OYEDELE, Molecular modeling in drug discovery,Molecular docking algorithms,University of Utah,40.7628137,-111.8368719,Salt Lake County,Salt Lake City,Utah,United States
2,AMR EL HAWIET,Reliable determinations of protein–ligand interactions by direct ESI-MS measurements. Are we there yet?,Experimental approaches to evaluate the thermodynamics of protein-drug interactions,Associate professor,,,,,,
3,Adnane Aouidate,Discovering Anti-Cancer Drugs via Computational Methods,Molecular docking algorithms,Ait Melloul,30.3387947,-9.5044701,Pachalik d'Ait Meloul ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⵢⵜ ⵎⴻⵍⵍⵓⵍ باشوية ايت ملول,Aït Melloul,,Morocco
4,Adnane Aouidate,Discovering Anti-Cancer Drugs via Computational Methods,Molecular docking algorithms,Ibn Zohr University,30.3528367,-9.4714187,Pachalik d'Ait Meloul ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⵢⵜ ⵎⴻⵍⵍⵓⵍ باشوية ايت ملول,Aït Melloul,,Morocco
5,Adnane Aouidate,Discovering Anti-Cancer Drugs via Computational Methods,Molecular docking algorithms,School of Applied Sciences,,,,,,
6,Adnane Aouidate,Discovering Anti-Cancer Drugs via Computational Methods,Molecular docking algorithms,"School of Applied Sciences, Ait Melloul, Ibn Zohr University",,,,,,
7,Adrian F. Alvarez,The Escherichia coli two-component signal sensor BarA binds protonated acetate via a conserved hydrophobic-binding pocket,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Universidad Nacional Autónoma de México,19.3215969,-99.1849259,,Mexico City,Mexico City,Mexico
8,Adriano D. Andricopulo,Molecular docking and structure-based drug design strategies,Molecular docking algorithms,Universidade de São Paulo,-23.5652201,-46.712583,Região Metropolitana de São Paulo,São Paulo,São Paulo,Brazil
9,Adriano De Marino,A comparative analysis of current phasing and imputation software,Genotype imputation and variability in polygenic risk score estimation,FL,27.7567667,-81.4639835,Polk County,,Florida,United States
10,Adriano De Marino,A comparative analysis of current phasing and imputation software,Genotype imputation and variability in polygenic risk score estimation,Miami,25.7741728,-80.19362,Miami-Dade County,Miami,Florida,United States
11,Adriano De Marino,A comparative analysis of current phasing and imputation software,Genotype imputation and variability in polygenic risk score estimation,Research & Development,33.2033011,-97.1784646,Denton County,Denton,Texas,United States
12,Agus Susilo,[BOOK][B] Simulasi Molekuler pada Bidang Pangan Fungsional: Prinsip Dasar dan Tutorial,"De Azevedo Jr., WF (2008)",Universitas Brawijaya,-7.9517799,112.6138632,Kota Malang,Malang,East Java,Indonesia
13,Agustina De Francesco,"Genome‐wide analyses of Liberibacter species provides insights into evolution, phylogenetic relationships, and virulence factors","Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",ANOVE,-16.4833806,49.3509445,District de Mananara Avaratra,,Ambatosoa,Madagascar
14,Ahmed Hosny, Artificial intelligence for clinical oncology,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Dana Farber Cancer Institute,42.3375681,-71.1078696,Norfolk County,,Massachusetts,United States
15,Ahmed M. Ramadan,"Synthesis, characterization, biological evaluation, and molecular docking approach of nickel (II) complexes containing O, N‐donor chelation pattern of sulfonamide …",Computational methods for calculation of ligand-binding affinity,"Alexandria University, Egypt",31.2104662,29.9131341,,Alexandria,Alexandria,Egypt
16,Ahmed M. Ramadan,"Synthesis, characterization, biological evaluation, and molecular docking approach of nickel (II) complexes containing O, N‐donor chelation pattern of sulfonamide …",Computational methods for calculation of ligand-binding affinity,Faculty of Science,,,,,,
17,Ahmed M. Ramadan,"Synthesis, characterization, biological evaluation, and molecular docking approach of nickel (II) complexes containing O, N‐donor chelation pattern of sulfonamide …",Computational methods for calculation of ligand-binding affinity,"Professor of Inorganic and Analytical Chemistry, Faculty of Science, Alexandria University, Egypt",,,,,,
18,Alberto Baiardi,Quantum computing for molecular biology,"De Azevedo Jr., WF (2008)",IBM Research Zürich,41.108252,-73.719887,Westchester,Armonk,New York,USA
19,Alberto Baiardi,Quantum computing for molecular biology,Molecular docking algorithms,IBM Research Zürich,41.108252,-73.719887,Westchester,Armonk,New York,USA
20,Aldo Córdova Palomera,Genetically-informed prediction of short-term Parkinson's disease progression,Genotype imputation and variability in polygenic risk score estimation,Stanford University,37.4313138,-122.1693654,Santa Clara County,,California,United States
21,Aleksandar David Kostic,Intestinal virome changes precede autoimmunity in type I diabetes-susceptible children,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,"Assistant Professor, Harvard Medical School & Joslin Diabetes Center",,,,,,
22,Aleksandar David Kostic,Intestinal virome changes precede autoimmunity in type I diabetes-susceptible children,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Harvard Medical School & Joslin Diabetes Center,,,,,,
23,Aleksandar David Kostic,Variation in microbiome LPS immunogenicity contributes to autoimmunity in humans,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,"Assistant Professor, Harvard Medical School & Joslin Diabetes Center",,,,,,
24,Aleksandar David Kostic,Variation in microbiome LPS immunogenicity contributes to autoimmunity in humans,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Harvard Medical School & Joslin Diabetes Center,,,,,,
25,Alexandre Duprey,"How the PhoP/PhoQ System Controls Virulence and Mg2+ Homeostasis: Lessons in Signal Transduction, Pathogenesis, Physiology, and Evolution",Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Postdoctoral Associate,,,,,,
26,Alexandre Duprey,"How the PhoP/PhoQ System Controls Virulence and Mg2+ Homeostasis: Lessons in Signal Transduction, Pathogenesis, Physiology, and Evolution",Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,"Postdoctoral Associate, Yale University",,,,,,
27,Alexandre Duprey,"How the PhoP/PhoQ System Controls Virulence and Mg2+ Homeostasis: Lessons in Signal Transduction, Pathogenesis, Physiology, and Evolution",Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Yale University,41.2571305,-72.9896696,South Central Connecticut Planning Region,,Connecticut,United States
